Date,Description,Amount,Transaction Type,Category,Account Name
2018-05-28,Grocery Store,11.16,debit,Groceries,Silver Card
2019-09-12,Starbucks,2.75,debit,Coffee Shops,Platinum Card
2019-09-13,American Tavern,4.91,debit,Restaurants,Platinum Card
2019-06-01,Amazon,13.13,debit,Shopping,Platinum Card
2018-04-11,Grocery Store,13.32,debit,Groceries,Platinum Card
2018-08-24,Brunch Restaurant,29.56,debit,Restaurants,Platinum Card
2018-05-18,State Farm,2050.0,debit,Auto Insurance,Checking
2019-06-22,_RARE_,34.56,debit,Gas & Fuel,Silver Card
2018-04-12,Barbershop,30.38,debit,Haircut,Platinum Card
2018-04-01,Credit Card Payment,391.13,credit,Credit Card Payment,Silver Card
2018-11-19,City Water Charges,35.0,debit,Utilities,Checking
2019-03-24,Credit Card Payment,153.69,debit,Credit Card Payment,Checking
2018-08-13,_RARE_,21.58,debit,Restaurants,Silver Card
2019-08-25,Internet Service Provider,75.0,debit,Internet,Checking
2018-02-06,Amazon,13.09,debit,Shopping,Platinum Card
2018-03-20,Grocery Store,43.46,debit,Groceries,Silver Card
2018-11-15,Grocery Store,6.54,debit,Groceries,Silver Card
2018-04-22,Hardware Store,10.34,debit,Home Improvement,Platinum Card
2019-08-30,Internet Service Provider,74.99,debit,Internet,Checking
2018-12-28,American Tavern,11.31,debit,Restaurants,Silver Card
2018-01-08,Shell,31.56,debit,Gas & Fuel,Silver Card
2019-04-04,Netflix,64.51,debit,Movies & DVDs,Platinum Card
2019-01-22,Credit Card Payment,365.68,credit,Credit Card Payment,Silver Card
2018-06-28,Hardware Store,7.75,debit,Home Improvement,Silver Card
2019-01-20,Credit Card Payment,459.73,debit,Credit Card Payment,Checking
2018-02-28,_RARE_,12.76,debit,Restaurants,Silver Card
2018-11-16,Starbucks,12.1,debit,Coffee Shops,Platinum Card
2018-07-03,Grocery Store,24.93,debit,Groceries,Silver Card
2018-12-25,Internet Service Provider,45.99,debit,Internet,Checking
2019-09-09,Spotify,10.69,debit,Music,Platinum Card
2019-04-15,Credit Card Payment,354.88,credit,Credit Card Payment,Platinum Card
2018-10-01,Credit Card Payment,411.73,debit,Credit Card Payment,Checking
2018-04-09,Spotify,10.69,debit,Music,Platinum Card
2018-08-26,Grocery Store,4.64,debit,Groceries,Silver Card
2018-07-25,Credit Card Payment,314.77,debit,Credit Card Payment,Checking
2019-05-14,Hardware Store,26.47,debit,Home Improvement,Silver Card
2019-09-11,Barbershop,35.0,debit,Utilities,Checking
2018-04-03,BP,24.43,debit,Gas & Fuel,Silver Card
2019-01-04,Netflix,11.7,debit,Television,Platinum Card
2018-12-21,Greek Restaurant,32.74,debit,Restaurants,Platinum Card
2019-06-18,Brewing Company,3.0,debit,Alcohol & Bars,Silver Card
2018-08-20,City Water Charges,30.62,debit,Utilities,Checking
2018-07-15,Grocery Store,15.69,debit,Groceries,Silver Card
2018-01-18,Hardware Store,60.41,debit,Home Improvement,Platinum Card
2018-11-19,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-01-27,Grocery Store,44.92,debit,Groceries,Platinum Card
2018-09-08,Grocery Store,28.15,debit,Groceries,Platinum Card
2018-01-09,Amazon,19.1,debit,Shopping,Platinum Card
2018-02-27,Starbucks,4.99,debit,Coffee Shops,Platinum Card
2019-06-21,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-07-12,Spotify,10.69,debit,Music,Platinum Card
2018-09-03,Credit Card Payment,1100.04,debit,Credit Card Payment,Checking
2019-02-13,Thai Restaurant,5.0,debit,Restaurants,Platinum Card
2018-01-09,Spotify,10.69,debit,Music,Platinum Card
2018-01-08,Starbucks,3.61,debit,Coffee Shops,Platinum Card
2019-08-25,Internet Service Provider,75.0,debit,Auto Insurance,Checking
2019-04-18,Amazon,66.9,debit,Shopping,Platinum Card
2019-08-15,Brewing Company,8.0,debit,Alcohol & Bars,Silver Card
2019-09-17,City Water Charges,35.0,debit,Utilities,Checking
2019-02-11,Brewing Company,16.0,debit,Alcohol & Bars,Silver Card
2018-12-02,Hardware Store,40.13,credit,Home Improvement,Platinum Card
2018-01-30,Shell,24.9,debit,Gas & Fuel,Platinum Card
2019-06-20,American Tavern,34.47,debit,Alcohol & Bars,Silver Card
2018-07-21,Grocery Store,13.16,debit,Groceries,Platinum Card
2018-10-05,Amazon,18.95,debit,Shopping,Platinum Card
2018-06-02,Hardware Store,129.45,debit,Home Improvement,Platinum Card
2018-02-15,Credit Card Payment,288.45,debit,Credit Card Payment,Checking
2018-01-20,Starbucks,2.75,debit,Coffee Shops,Platinum Card
2019-02-06,BP,36.44,debit,Gas & Fuel,Platinum Card
2018-12-29,Credit Card Payment,236.76,credit,Credit Card Payment,Silver Card
2018-11-17,BP,63.83,debit,Gas & Fuel,Platinum Card
2019-08-23,Brewing Company,5.0,debit,Alcohol & Bars,Platinum Card
2018-10-19,Credit Card Payment,295.85,credit,Credit Card Payment,Platinum Card
2018-11-02,Credit Card Payment,814.94,credit,Credit Card Payment,Platinum Card
2019-04-08,Grocery Store,8.36,debit,Groceries,Platinum Card
2018-10-23,Grocery Store,35.16,debit,Groceries,Platinum Card
2019-01-01,Amazon,3.4,debit,Shopping,Platinum Card
2018-06-09,Phone Company,39.56,debit,Mobile Phone,Checking
2018-01-22,Shell,34.38,debit,Gas & Fuel,Silver Card
2018-10-12,_RARE_,14.52,debit,Restaurants,Silver Card
2019-09-15,Credit Card Payment,104.17,credit,Credit Card Payment,Silver Card
2018-04-07,Credit Card Payment,503.59,credit,Credit Card Payment,Silver Card
2018-12-09,Credit Card Payment,594.44,debit,Credit Card Payment,Checking
2018-03-08,Grocery Store,25.64,debit,Groceries,Platinum Card
2019-06-19,_RARE_,24.0,debit,Restaurants,Silver Card
2018-09-30,Hardware Store,11.11,debit,Home Improvement,Silver Card
2018-07-08,Credit Card Payment,207.81,credit,Credit Card Payment,Platinum Card
2018-12-07,Credit Card Payment,434.03,credit,Credit Card Payment,Silver Card
2018-04-11,Credit Card Payment,329.0,debit,Credit Card Payment,Checking
2019-07-09,Grocery Store,12.75,debit,Groceries,Silver Card
2019-08-19,City Water Charges,35.0,debit,Utilities,Checking
2019-05-06,Credit Card Payment,97.53,debit,Credit Card Payment,Checking
2019-04-06,Amazon,13.99,debit,Shopping,Platinum Card
2019-04-10,Phone Company,64.0,debit,Mobile Phone,Checking
2018-10-04,Credit Card Payment,511.25,debit,Credit Card Payment,Checking
2018-03-02,Mortgage Payment,1107.4,debit,Mortgage & Rent,Checking
2018-04-04,Amazon,13.9,debit,Shopping,Platinum Card
2018-10-17,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-08-06,_RARE_,13.07,debit,Restaurants,Platinum Card
2018-03-13,Power Company,75.0,debit,Utilities,Checking
2018-08-03,Brewing Company,9.0,debit,Alcohol & Bars,Silver Card
2019-05-06,Amazon,82.93,debit,Shopping,Platinum Card
2018-12-20,Grocery Store,3.57,debit,Groceries,Platinum Card
2018-02-20,Amazon,13.13,debit,Shopping,Platinum Card
2019-07-25,Credit Card Payment,251.26,debit,Credit Card Payment,Checking
2018-07-02,Mortgage Payment,1257.48,debit,Mortgage & Rent,Checking
2019-05-11,Phone Company,245.3,debit,Mobile Phone,Checking
2019-09-04,Mortgage Payment,1107.0,debit,Mortgage & Rent,Checking
2018-03-08,Hardware Store,35.04,debit,Home Improvement,Platinum Card
2019-01-15,Power Company,60.0,debit,Utilities,Checking
2018-11-02,Mortgage Payment,1207.44,debit,Mortgage & Rent,Checking
2019-09-19,Power Company,60.0,debit,Utilities,Checking
2019-02-28,Grocery Store,2.75,debit,Groceries,Platinum Card
2018-03-27,Grocery Store,42.64,debit,Groceries,Platinum Card
2018-09-14,Credit Card Payment,559.91,credit,Credit Card Payment,Platinum Card
2018-07-19,BP,36.85,debit,Gas & Fuel,Platinum Card
2019-05-09,Spotify,10.69,debit,Music,Platinum Card
2018-09-14,Grocery Store,4.24,debit,Groceries,Platinum Card
2019-01-05,Starbucks,3.0,debit,Coffee Shops,Platinum Card
2018-11-20,Credit Card Payment,787.65,debit,Credit Card Payment,Checking
2018-04-06,Grocery Store,26.77,debit,Groceries,Silver Card
2019-03-17,City Water Charges,35.0,debit,Utilities,Checking
2019-09-18,Starbucks,43.0,debit,Coffee Shops,Platinum Card
2018-10-15,_RARE_,4.0,debit,Utilities,Checking
2018-09-13,Hardware Store,29.16,debit,Home Improvement,Platinum Card
2018-04-03,Fancy Restaurant,11.44,debit,Alcohol & Bars,Silver Card
2019-08-22,Hardware Store,35.0,debit,Home Improvement,Platinum Card
2018-07-04,Grocery Store,36.72,debit,Groceries,Silver Card
2018-10-28,_RARE_,13.76,debit,Restaurants,Platinum Card
2018-05-31,Mortgage Payment,1245.14,debit,Mortgage & Rent,Checking
2019-03-21,Grocery Store,94.34,debit,Groceries,Silver Card
2018-07-09,American Tavern,35.0,debit,Utilities,Checking
2018-08-18,Amazon,13.1,debit,Shopping,Platinum Card
2019-07-09,Gas Company,30.0,debit,Utilities,Checking
2018-11-24,Movie Theater,63.26,debit,Restaurants,Silver Card
2019-02-15,Grocery Store,4.86,debit,Groceries,Silver Card
2019-04-19,Pizza Place,36.82,debit,Restaurants,Platinum Card
2019-06-19,Brewing Company,32.0,debit,Alcohol & Bars,Platinum Card
2018-06-09,Spotify,10.69,debit,Music,Platinum Card
2018-05-10,Phone Company,89.4,debit,Mobile Phone,Checking
2018-07-27,Biweekly Paycheck,2200.0,credit,Paycheck,Checking
2018-06-09,Phone Company,37.0,debit,Mobile Phone,Checking
2018-11-27,American Tavern,31.18,debit,Restaurants,Platinum Card
2018-03-23,Credit Card Payment,6.47,debit,Credit Card Payment,Checking
2018-06-09,Credit Card Payment,494.68,debit,Credit Card Payment,Checking
2018-06-26,Amazon,4.98,debit,Shopping,Platinum Card
2018-04-17,City Water Charges,35.0,debit,Utilities,Checking
2019-04-19,Power Company,60.0,debit,Utilities,Checking
2019-02-25,Internet Service Provider,74.99,debit,Internet,Checking
2019-08-13,Mortgage Payment,1205.0,debit,Mortgage & Rent,Checking
2019-02-06,QuikTrip,32.71,debit,Gas & Fuel,Platinum Card
2019-03-10,Phone Company,5.0,debit,Mobile Phone,Checking
2018-10-16,City Water Charges,35.0,debit,Utilities,Checking
2018-11-04,Grocery Store,12.17,debit,Groceries,Silver Card
2018-03-17,Brewing Company,9.0,debit,Alcohol & Bars,Silver Card
2019-01-14,BP,33.18,debit,Gas & Fuel,Silver Card
2019-07-29,Brewing Company,46.8,debit,Alcohol & Bars,Platinum Card
2018-02-19,QuikTrip,35.0,debit,Utilities,Checking
2018-04-29,Credit Card Payment,151.75,debit,Credit Card Payment,Checking
2018-12-18,Amazon,15.37,debit,Shopping,Platinum Card
2018-02-19,Credit Card Payment,331.48,debit,Credit Card Payment,Checking
2019-05-05,Grocery Store,40.34,debit,Groceries,Platinum Card
2019-01-07,Amazon,25.95,debit,Shopping,Platinum Card
2018-05-04,Credit Card Payment,354.18,debit,Credit Card Payment,Checking
2018-04-16,Starbucks,3.4,debit,Coffee Shops,Platinum Card
2019-02-15,Barbershop,30.0,debit,Utilities,Checking
2018-12-14,Grocery Store,21.16,debit,Groceries,Platinum Card
2018-09-24,American Tavern,24.47,debit,Restaurants,Platinum Card
2018-04-09,Spotify,10.69,debit,Music,Platinum Card
2019-03-25,Hardware Store,13.79,debit,Home Improvement,Platinum Card
2018-03-26,Credit Card Payment,152.4,credit,Credit Card Payment,Platinum Card
2018-09-24,Biweekly Paycheck,2007.0,credit,Paycheck,Checking
2018-09-29,Hardware Store,87.76,debit,Home Improvement,Platinum Card
2018-04-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card
2019-02-11,Credit Card Payment,615.08,debit,Credit Card Payment,Checking
2018-08-14,_RARE_,11.12,debit,Fast Food,Platinum Card
2018-07-17,Credit Card Payment,257.42,credit,Credit Card Payment,Platinum Card
2018-02-13,Credit Card Payment,454.21,debit,Credit Card Payment,Checking
2018-08-04,American Tavern,23.34,debit,Restaurants,Silver Card
2018-02-28,Grocery Store,12.76,debit,Groceries,Platinum Card
2018-03-06,Brewing Company,19.65,debit,Alcohol & Bars,Silver Card
2019-02-16,State Farm,75.0,debit,Auto Insurance,Checking
2018-01-16,Grocery Store,13.36,debit,Groceries,Platinum Card
2018-05-21,Gas Company,25.6,debit,Utilities,Checking
2018-03-02,Credit Card Payment,154.48,credit,Credit Card Payment,Platinum Card
2018-12-15,Grocery Store,6.13,debit,Groceries,Silver Card
2018-12-06,Grocery Store,6.04,debit,Groceries,Silver Card
2018-09-20,State Farm,74.0,debit,Auto Insurance,Checking
2018-04-01,_RARE_,5.94,debit,Restaurants,Silver Card
2019-04-30,Credit Card Payment,461.77,credit,Credit Card Payment,Silver Card
2018-03-14,Grocery Store,3.24,debit,Groceries,Platinum Card
2018-11-24,_RARE_,20.33,debit,Restaurants,Platinum Card
2019-03-05,Pizza Place,13.64,debit,Groceries,Platinum Card
2018-07-02,Hardware Store,286.5,debit,Home Improvement,Silver Card
2018-10-04,Grocery Store,9.36,debit,Groceries,Silver Card
2019-03-13,_RARE_,2.75,debit,Restaurants,Platinum Card
2018-01-31,BP,39.48,debit,Gas & Fuel,Platinum Card
2019-02-02,Biweekly Paycheck,2250.0,credit,Paycheck,Checking
2018-01-14,Grocery Store,8.01,debit,Groceries,Silver Card
2019-01-09,Credit Card Payment,752.07,debit,Credit Card Payment,Checking
2019-05-09,Amazon,33.15,debit,Shopping,Platinum Card
2018-05-05,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-04-19,Gas Company,20.0,debit,Utilities,Checking
2018-06-14,Amazon,51.21,debit,Shopping,Platinum Card
2019-05-09,Phone Company,35.5,debit,Haircut,Platinum Card
2018-11-30,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-08-16,Credit Card Payment,261.0,debit,Credit Card Payment,Checking
2018-07-13,_RARE_,29.02,debit,Restaurants,Platinum Card
2018-05-12,Starbucks,2.75,debit,Coffee Shops,Silver Card
2019-07-22,Amazon,46.23,debit,Shopping,Platinum Card
2018-02-09,Spotify,10.69,debit,Music,Platinum Card
2019-09-19,Grocery Store,27.17,debit,Groceries,Platinum Card
2018-10-18,Credit Card Payment,43.2,debit,Credit Card Payment,Checking
2019-05-06,Grocery Store,19.19,debit,Groceries,Platinum Card
2019-07-03,Credit Card Payment,851.75,credit,Credit Card Payment,Platinum Card
2018-10-02,Mortgage Payment,213.48,debit,Mortgage & Rent,Checking
2018-07-09,Amazon,13.15,debit,Shopping,Platinum Card
2018-10-28,_RARE_,27.02,debit,Restaurants,Platinum Card
2019-07-01,Gas Company,30.0,debit,Utilities,Checking
2019-02-01,Amazon,10.09,debit,Shopping,Platinum Card
2018-12-04,BP,35.68,debit,Gas & Fuel,Platinum Card
2018-10-05,Grocery Store,45.24,debit,Groceries,Platinum Card
2019-02-21,Credit Card Payment,269.43,debit,Credit Card Payment,Checking
2018-01-10,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-02-25,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-12-07,_RARE_,24.53,debit,Restaurants,Silver Card
2019-02-18,Starbucks,3.39,debit,Coffee Shops,Platinum Card
2018-07-27,Internet Service Provider,75.0,debit,Internet,Checking
2019-09-09,Spotify,10.6,debit,Music,Platinum Card
2019-05-22,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-06-30,Internet Service Provider,75.0,debit,Internet,Checking
2018-09-06,Brewing Company,29.1,debit,Alcohol & Bars,Platinum Card
2018-08-20,Shell,30.46,debit,Gas & Fuel,Silver Card
2019-07-06,American Tavern,22.76,debit,Restaurants,Platinum Card
2019-04-21,Credit Card Payment,634.82,debit,Credit Card Payment,Checking
2018-12-08,Grocery Store,24.12,debit,Groceries,Silver Card
2018-11-27,Grocery Store,39.57,debit,Groceries,Platinum Card
2019-07-04,Netflix,13.2,debit,Television,Platinum Card
2018-01-16,Power Company,60.0,debit,Utilities,Checking
2018-08-03,Grocery Store,5.64,debit,Groceries,Silver Card
2019-01-08,Spotify,20.09,debit,Music,Platinum Card
2018-04-28,Hardware Store,22.5,debit,Home Improvement,Platinum Card
2018-06-01,Amazon,13.0,debit,Shopping,Platinum Card
2018-11-21,Credit Card Payment,357.43,credit,Credit Card Payment,Platinum Card
2018-02-14,Starbucks,2.75,debit,Coffee Shops,Platinum Card
2019-01-17,Power Company,60.0,debit,Utilities,Checking
2019-06-19,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-09-07,Gas Company,30.0,debit,Utilities,Checking
2019-07-06,Starbucks,51.72,debit,Coffee Shops,Platinum Card
2018-06-28,Credit Card Payment,264.41,debit,Credit Card Payment,Checking
2018-07-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card
2019-05-29,Thai Restaurant,27.64,debit,Restaurants,Silver Card
2018-05-09,Grocery Store,3.13,debit,Groceries,Platinum Card
2018-11-19,American Tavern,26.11,debit,Alcohol & Bars,Silver Card
2019-02-17,American Tavern,15.0,debit,Restaurants,Silver Card
2018-05-13,Credit Card Payment,152.22,credit,Credit Card Payment,Silver Card
2019-09-23,Gas Company,10.0,debit,Utilities,Checking
2019-07-07,_RARE_,35.0,debit,Restaurants,Silver Card
2019-06-12,Brewing Company,2.75,debit,Alcohol & Bars,Platinum Card
2018-01-09,_RARE_,38.63,debit,Fast Food,Silver Card
2018-10-15,Credit Card Payment,116.14,credit,Credit Card Payment,Silver Card
2018-10-26,Internet Service Provider,74.0,debit,Internet,Checking
2018-02-03,Hardware Store,242.51,credit,Credit Card Payment,Silver Card
2019-09-01,_RARE_,11.96,debit,Fast Food,Platinum Card
2018-08-01,Amazon,13.13,debit,Shopping,Platinum Card
2019-07-23,Credit Card Payment,200.85,credit,Credit Card Payment,Platinum Card
2018-04-06,_RARE_,25.07,debit,Restaurants,Silver Card
2019-04-23,Internet Service Provider,75.0,debit,Internet,Checking
2019-08-03,Greek Restaurant,22.75,debit,Restaurants,Silver Card
2018-10-16,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-10-22,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-09-14,Hardware Store,24.13,debit,Home Improvement,Platinum Card
2018-11-09,Grocery Store,11.79,debit,Groceries,Platinum Card
2018-12-08,Hardware Store,26.47,debit,Home Improvement,Platinum Card
2018-12-07,Spotify,10.69,debit,Music,Platinum Card
2019-06-09,Starbucks,19.75,debit,Coffee Shops,Platinum Card
2019-02-25,Internet Service Provider,75.29,debit,Internet,Checking
2018-11-09,Grocery Store,23.18,debit,Groceries,Platinum Card
2019-09-03,Hardware Store,53.0,debit,Groceries,Silver Card
2018-01-09,Spotify,10.69,debit,Music,Platinum Card
2018-03-04,Shell,34.7,debit,Gas & Fuel,Silver Card
2019-07-12,Phone Company,287.0,debit,Mobile Phone,Checking
2019-03-11,Gas Company,60.0,debit,Utilities,Checking
2019-04-10,Phone Company,39.0,debit,Mobile Phone,Checking
2019-01-15,Credit Card Payment,285.17,debit,Credit Card Payment,Checking
2019-01-10,Phone Company,34.0,debit,Mobile Phone,Checking
2018-04-17,City Water Charges,35.0,debit,Utilities,Checking
2019-04-30,Hardware Store,14.99,debit,Home Improvement,Silver Card
2018-06-18,City Water Charges,39.51,debit,Utilities,Checking
2018-05-26,State Farm,75.0,debit,Auto Insurance,Checking
2018-03-17,City Water Charges,35.0,debit,Utilities,Checking
2018-03-26,Internet Service Provider,79.99,debit,Internet,Checking
2018-07-03,_RARE_,35.66,debit,Restaurants,Platinum Card
2019-04-04,Hardware Store,630.03,debit,Home Improvement,Platinum Card
2018-10-24,Credit Card Payment,102.82,debit,Credit Card Payment,Checking
2019-04-03,BP,30.04,debit,Gas & Fuel,Silver Card
2018-08-12,Phone Company,65.0,debit,Mobile Phone,Checking
2018-05-11,Credit Card Payment,563.39,debit,Credit Card Payment,Checking
2018-05-18,State Farm,75.0,debit,Auto Insurance,Checking
2018-12-01,Grocery Store,13.04,debit,Groceries,Platinum Card
2018-04-05,Amazon,13.5,debit,Shopping,Platinum Card
2018-01-17,Power Company,60.0,debit,Utilities,Checking
2018-04-25,Shell,36.76,debit,Gas & Fuel,Platinum Card
2018-11-09,Grocery Store,35.68,debit,Groceries,Platinum Card
2019-07-15,American Tavern,24.64,debit,Restaurants,Platinum Card
2018-07-18,Grocery Store,6.02,debit,Groceries,Silver Card
2018-11-20,Amazon,13.6,debit,Shopping,Platinum Card
2019-08-08,_RARE_,13.0,debit,Restaurants,Platinum Card
2018-05-04,Credit Card Payment,389.76,debit,Credit Card Payment,Checking
2019-04-20,American Tavern,8.0,debit,Restaurants,Silver Card
2019-05-15,Credit Card Payment,154.97,credit,Credit Card Payment,Silver Card
2019-05-21,Brewing Company,29.0,debit,Alcohol & Bars,Platinum Card
2018-04-09,Power Company,60.0,debit,Utilities,Checking
2018-09-01,Brewing Company,33.0,debit,Alcohol & Bars,Platinum Card
2018-07-31,Grocery Store,6.37,debit,Groceries,Silver Card
2018-12-12,_RARE_,30.34,debit,Restaurants,Silver Card
2019-01-31,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-08-23,Credit Card Payment,942.46,debit,Credit Card Payment,Checking
2019-06-25,Credit Card Payment,266.79,debit,Credit Card Payment,Checking
2019-07-19,BP,24.73,debit,Gas & Fuel,Silver Card
2019-03-15,Grocery Store,9.75,debit,Groceries,Platinum Card
2018-02-15,Credit Card Payment,209.81,debit,Credit Card Payment,Checking
2019-05-10,Gas Company,30.0,debit,Utilities,Checking
2018-09-13,Shell,35.02,debit,Gas & Fuel,Silver Card
2019-08-13,Grocery Store,2.75,debit,Groceries,Silver Card
2018-03-18,Amazon,46.47,debit,Shopping,Platinum Card
2019-04-25,Starbucks,3.0,debit,Coffee Shops,Platinum Card
2018-02-14,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-09-13,Credit Card Payment,369.46,debit,Credit Card Payment,Checking
2019-08-18,_RARE_,34.0,debit,Restaurants,Silver Card
2018-07-16,City Water Charges,35.0,debit,Utilities,Checking
2019-07-10,Grocery Store,8.53,debit,Groceries,Platinum Card
2018-10-21,Credit Card Payment,250.17,debit,Credit Card Payment,Checking
2019-02-27,Hardware Store,20.71,debit,Home Improvement,Platinum Card
2018-01-23,Mortgage Payment,49.46,debit,Shopping,Platinum Card
2018-03-18,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-12-03,BP,560.08,debit,Gas & Fuel,Silver Card
2018-06-14,Credit Card Payment,247.98,debit,Credit Card Payment,Checking
2018-04-15,Starbucks,13.54,debit,Coffee Shops,Platinum Card
2018-07-04,Internet Service Provider,11.76,debit,Movies & DVDs,Platinum Card
2018-04-06,Grocery Store,6.23,debit,Groceries,Silver Card
2018-09-28,Credit Card Payment,2.75,debit,Credit Card Payment,Checking
2018-08-27,Grocery Store,21.53,debit,Groceries,Platinum Card
2019-03-06,Amazon,19.96,debit,Shopping,Platinum Card
2019-09-04,Movie Theater,11.76,debit,Television,Platinum Card
2019-02-16,Credit Card Payment,265.28,debit,Credit Card Payment,Checking
2019-09-16,City Water Charges,65.0,debit,Utilities,Checking
2019-04-09,Gas Company,30.0,debit,Utilities,Checking
2019-05-06,Amazon,29.34,debit,Shopping,Platinum Card
2019-02-06,Credit Card Payment,481.75,debit,Credit Card Payment,Checking
2019-06-05,State Farm,19.0,debit,Movies & DVDs,Platinum Card
2019-08-15,Credit Card Payment,362.08,debit,Credit Card Payment,Checking
2019-07-19,Power Company,60.0,debit,Utilities,Checking
2019-04-18,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-02-14,Brewing Company,6.0,debit,Alcohol & Bars,Silver Card
2018-10-04,Biweekly Paycheck,2040.0,credit,Paycheck,Checking
2019-08-13,Greek Restaurant,39.53,debit,Restaurants,Silver Card
2018-04-18,State Farm,75.0,debit,Auto Insurance,Checking
2018-03-13,Grocery Store,14.78,debit,Groceries,Silver Card
2018-05-02,Mortgage Payment,1247.14,debit,Mortgage & Rent,Checking
2018-01-22,Hardware Store,34.91,debit,Home Improvement,Platinum Card
2019-02-04,Netflix,13.4,debit,Television,Platinum Card
2018-02-09,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-09-21,Credit Card Payment,263.11,credit,Credit Card Payment,Platinum Card
2018-12-14,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-05-02,BP,28.21,debit,Gas & Fuel,Platinum Card
2019-04-05,State Farm,74.0,debit,Auto Insurance,Checking
2019-01-20,City Water Charges,39.5,debit,Utilities,Checking
2019-05-05,Greek Restaurant,43.47,debit,Restaurants,Platinum Card
2018-01-27,Grocery Store,3.66,debit,Groceries,Silver Card
2019-06-29,Movie Theater,40.0,debit,Haircut,Platinum Card
2019-04-15,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-09-04,Fancy Restaurant,1179.47,debit,Restaurants,Platinum Card
2018-02-09,_RARE_,22.42,debit,Restaurants,Platinum Card
2019-06-17,City Water Charges,35.0,debit,Utilities,Checking
2018-01-05,Mortgage Payment,1257.44,debit,Mortgage & Rent,Checking
2019-04-01,Starbucks,2.75,debit,Coffee Shops,Platinum Card
2018-04-24,Hardware Store,28.3,debit,Home Improvement,Silver Card
2019-02-10,Phone Company,65.0,debit,Mobile Phone,Checking
2018-07-25,Shell,69.56,debit,Gas & Fuel,Silver Card
2018-04-12,_RARE_,20.64,debit,Restaurants,Platinum Card
2018-05-04,Netflix,11.74,debit,Movies & DVDs,Platinum Card
2018-02-27,Brewing Company,29.75,debit,Alcohol & Bars,Silver Card
2018-08-02,Credit Card Payment,156.37,credit,Credit Card Payment,Platinum Card
2018-10-20,American Tavern,24.35,debit,Restaurants,Platinum Card
2018-07-09,Grocery Store,46.74,debit,Groceries,Platinum Card
2018-06-26,Internet Service Provider,74.09,debit,Internet,Checking
2019-09-19,City Water Charges,68.0,debit,Utilities,Checking
2018-03-01,Amazon,43.27,debit,Shopping,Platinum Card
2018-09-01,Grocery Store,13.16,debit,Groceries,Platinum Card
2019-02-01,Amazon,21.01,debit,Shopping,Platinum Card
2019-08-21,Credit Card Payment,463.08,debit,Credit Card Payment,Checking
2019-02-06,Amazon,11.79,debit,Shopping,Platinum Card
2018-05-16,Grocery Store,13.59,debit,Groceries,Platinum Card
2018-12-15,Credit Card Payment,209.62,debit,Credit Card Payment,Checking
2018-06-28,Starbucks,53.3,debit,Coffee Shops,Platinum Card
2018-01-31,Credit Card Payment,102.06,debit,Credit Card Payment,Checking
2018-07-06,Grocery Store,50.64,debit,Groceries,Silver Card
2018-05-11,Spotify,10.69,debit,Music,Platinum Card
2019-02-19,Starbucks,58.0,debit,Coffee Shops,Platinum Card
2019-05-14,Fancy Restaurant,94.57,debit,Restaurants,Silver Card
2018-05-11,Barbershop,69.02,debit,Gas & Fuel,Platinum Card
2018-08-19,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-06-06,Amazon,246.96,debit,Shopping,Platinum Card
2019-04-21,Credit Card Payment,133.83,debit,Credit Card Payment,Checking
2019-03-24,Amazon,17.33,debit,Shopping,Platinum Card
2018-05-10,Grocery Store,26.89,debit,Groceries,Platinum Card
2019-09-19,Credit Card Payment,504.21,credit,Credit Card Payment,Platinum Card
2018-07-15,Starbucks,2.75,debit,Coffee Shops,Platinum Card
2018-09-13,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2019-02-20,Credit Card Payment,711.27,debit,Credit Card Payment,Checking
2018-03-27,American Tavern,45.34,debit,Fast Food,Platinum Card
2019-04-12,Power Company,75.0,debit,Utilities,Checking
2019-02-09,Spotify,10.69,debit,Music,Platinum Card
2018-03-01,Amazon,14.07,debit,Shopping,Platinum Card
2018-02-19,Mortgage Payment,1100.0,debit,Mortgage & Rent,Checking
